Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Median agein years,Life expectancyin years,GDP,Population under 20 years old in %
Finland,1,7.809,1.285,1.5,0.961,0.662,0.16,0.478,,42.8,82.0,,20.9
Denmark,2,7.646,1.327,1.503,0.979,0.665,0.243,0.495,,42.0,81.5,,22.0
Switzerland,3,7.56,1.391,1.472,1.041,0.629,0.269,0.408,,42.7,83.9,,19.9
Iceland,4,7.504,1.327,1.548,1.001,0.662,0.362,0.145,,,,,
Norway,5,7.488,1.424,1.495,1.008,0.67,0.288,0.434,,39.5,83.2,,22.8
Netherlands,6,7.449,1.339,1.464,0.976,0.614,0.336,0.369,,42.8,81.5,,21.3
Sweden,7,7.353,1.322,1.433,0.986,0.65,0.273,0.442,,41.1,83.2,,23.4
New Zealand,8,7.3,1.242,1.487,1.008,0.647,0.326,0.461,,37.2,82.3,,25.1
Austria,9,7.294,1.317,1.437,1.001,0.603,0.256,0.281,,44.5,81.3,,19.2
Luxembourg,10,7.238,1.537,1.388,0.986,0.61,0.196,0.367,,39.5,82.8,,21.1
Canada,11,7.232,1.302,1.435,1.023,0.644,0.282,0.352,,41.8,82.7,,21.1
Australia,12,7.223,1.31,1.477,1.023,0.622,0.325,0.336,,37.5,83.4,,24.2
United Kingdom,13,7.165,1.273,1.458,0.976,0.525,0.373,0.323,,40.6,80.8,,23.2
Israel,14,7.129,1.216,1.403,1.008,0.421,0.267,0.1,,30.4,82.6,,36.0
Costa Rica,15,7.121,0.981,1.375,0.94,0.645,0.131,0.096,,32.6,77.1,,27.7
Ireland,16,7.094,1.447,1.471,0.976,0.588,0.295,0.373,,37.8,82.2,,26.5
Germany,17,7.076,1.314,1.369,0.972,0.564,0.252,0.309,,47.8,81.0,,18.5
United States,18,6.94,1.374,1.405,0.832,0.535,0.298,0.152,,38.5,76.4,,24.8
Czech Republic,19,6.911,1.212,1.405,0.895,0.506,0.046,0.05,,,,,
Belgium,20,6.864,1.296,1.399,0.965,0.5,0.147,0.209,,41.6,82.0,,22.3
United Arab Emirates,21,6.791,1.431,1.251,0.788,0.653,0.281,0.22,,38.4,78.3,,18.4
Malta,22,6.773,1.253,1.443,0.972,0.633,0.341,0.179,,42.3,82.8,,17.3
France,23,6.664,1.268,1.459,1.03,0.514,0.113,0.227,,41.7,82.5,,23.4
Mexico,24,6.465,1.024,1.226,0.832,0.554,0.083,0.083,,29.3,70.6,,33.5
Taiwan,25,6.455,1.327,1.358,0.878,0.449,0.151,0.132,,,,,
Uruguay,26,6.44,1.071,1.425,0.857,0.594,0.132,0.193,,,,,
Saudi Arabia,27,6.406,1.334,1.31,0.76,0.548,0.087,0.163,,30.8,76.9,,33.7
Spain,28,6.401,1.231,1.421,1.051,0.426,0.165,0.11,,43.9,83.3,,19.3
Guatemala,29,6.399,0.754,1.174,0.706,0.613,0.171,0.098,,,,,
Italy,30,6.387,1.236,1.347,1.023,0.321,0.17,0.04,,46.5,82.9,,17.5
Singapore,31,6.377,1.52,1.395,1.138,0.635,0.219,0.533,,35.6,83.4,,16.3
Brazil,32,6.376,0.953,1.363,0.766,0.483,0.132,0.107,,33.2,72.8,,28.0
Slovenia,33,6.363,1.209,1.465,0.933,0.647,0.146,0.077,,44.9,80.9,,19.7
El Salvador,34,6.348,0.749,1.149,0.753,0.524,0.119,0.117,,27.7,70.8,,35.0
Kosovo,35,6.325,0.84,1.184,0.673,0.557,0.325,0.009,,,,,
Panama,36,6.305,1.098,1.376,0.879,0.58,0.097,0.054,,,,,
Slovakia,37,6.281,1.195,1.424,0.853,0.424,0.117,0.011,,41.8,74.9,,20.7
Uzbekistan,38,6.258,0.697,1.434,0.717,0.693,0.363,0.28,,,,,
Chile,39,6.228,1.097,1.323,0.889,0.417,0.156,0.063,,35.5,79.0,,24.8
Bahrain,40,6.227,1.297,1.315,0.839,0.61,0.287,0.127,,32.9,78.6,,25.7
Lithuania,41,6.215,1.194,1.433,0.795,0.42,0.054,0.081,,44.5,74.7,,19.7
Trinidad and Tobago,42,6.192,1.168,1.407,0.659,0.553,0.199,0.015,,,,,
Poland,43,6.186,1.169,1.31,0.868,0.558,0.063,0.161,,41.9,75.8,,20.1
Colombia,44,6.163,0.932,1.334,0.81,0.527,0.092,0.046,,31.2,73.0,,29.6
Cyprus,45,6.159,1.213,1.149,1.026,0.459,0.228,0.051,,,,,
Nicaragua,46,6.137,0.62,1.271,0.803,0.56,0.213,0.174,,,,,
Romania,47,6.124,1.12,1.194,0.792,0.535,0.068,0.001,,42.5,73.2,,21.3
Kuwait,48,6.102,1.425,1.245,0.776,0.57,0.133,0.113,,,,,
Mauritius,49,6.101,1.074,1.396,0.763,0.591,0.187,0.084,,36.3,73.8,,23.9
Kazakhstan,50,6.058,1.123,1.453,0.699,0.497,0.154,0.11,,31.6,70.3,,36.3
Estonia,51,6.022,1.192,1.453,0.843,0.577,0.125,0.202,,43.7,77.1,,21.4
Philippines,52,6.006,0.775,1.245,0.602,0.622,0.129,0.13,,24.1,69.3,,40.1
Hungary,53,6.0,1.164,1.423,0.807,0.386,0.07,0.028,,43.6,74.7,,19.6
Thailand,54,5.999,1.007,1.348,0.794,0.609,0.377,0.032,,39.0,78.9,,21.6
Argentina,55,5.975,1.028,1.373,0.85,0.521,0.07,0.06,,32.4,75.4,,31.0
Honduras,56,5.953,0.599,1.187,0.792,0.568,0.257,0.087,,,,,
Latvia,57,5.95,1.141,1.414,0.778,0.329,0.075,0.09,,44.4,73.8,,20.5
Ecuador,58,5.925,0.853,1.221,0.839,0.555,0.115,0.087,,28.8,73.9,,34.9
Portugal,59,5.911,1.169,1.34,0.979,0.59,0.053,0.028,,44.6,81.3,,18.5
Jamaica,60,5.89,0.779,1.408,0.788,0.553,0.116,0.03,,,,,
South Korea,61,5.872,1.245,1.134,1.023,0.259,0.17,0.095,,43.2,83.6,,16.5
Japan,62,5.871,1.267,1.332,1.073,0.495,0.036,0.181,,48.6,84.6,,16.3
Peru,63,5.797,0.919,1.208,0.824,0.513,0.092,0.027,,,,,
Serbia,64,5.778,0.988,1.327,0.828,0.395,0.15,0.059,,43.4,72.9,,19.4
Bolivia,65,5.747,0.731,1.142,0.662,0.574,0.138,0.073,,25.3,63.8,,40.8
Pakistan,66,5.693,0.617,0.873,0.47,0.405,0.229,0.123,,22.0,66.2,,47.6
Paraguay,67,5.692,0.898,1.368,0.736,0.587,0.204,0.065,,,,,
Dominican Republic,68,5.689,0.983,1.329,0.742,0.563,0.112,0.116,,,,,
Bosnia and Herzegovina,69,5.674,0.918,1.204,0.814,0.305,0.264,0.001,,43.3,75.4,,20.0
Moldova,70,5.608,0.708,1.237,0.713,0.39,0.174,0.014,,,,,
Tajikistan,71,5.556,0.475,1.218,0.681,0.521,0.182,0.222,,,,,
Montenegro,72,5.546,1.01,1.266,0.839,0.303,0.149,0.098,,,,,
Russia,73,5.546,1.127,1.379,0.68,0.399,0.099,0.046,,40.3,69.9,,22.8
Kyrgyzstan,74,5.542,0.513,1.341,0.681,0.615,0.301,0.03,,,,,
Belarus,75,5.54,1.019,1.387,0.753,0.291,0.09,0.194,,40.9,72.9,,21.8
North Cyprus,76,5.536,1.213,1.183,1.026,0.478,0.199,0.2,,,,,
Greece,77,5.515,1.128,1.169,0.979,0.174,0.0,0.049,,45.3,80.3,,19.3
Hong Kong,78,5.51,1.377,1.244,1.137,0.459,0.288,0.332,,,,,
Croatia,79,5.505,1.109,1.311,0.901,0.381,0.114,0.012,,43.9,76.6,,19.0
Libya,80,5.489,1.022,1.196,0.616,0.451,0.143,0.172,,,,,
Mongolia,81,5.456,0.905,1.459,0.616,0.356,0.264,0.047,,29.8,71.2,,39.1
Malaysia,82,5.384,1.168,1.174,0.789,0.597,0.275,0.062,,29.2,75.0,,31.0
Vietnam,83,5.353,0.718,1.253,0.819,0.651,0.136,0.09,,31.9,73.7,,29.7
Indonesia,84,5.286,0.892,1.155,0.61,0.568,0.543,0.038,,31.1,67.6,,33.6
C̫te d'Ivoire,85,5.233,0.537,0.8,0.155,0.397,0.17,0.093,,,,,
Benin,86,5.216,0.366,0.352,0.328,0.406,0.197,0.126,,17.0,59.8,,53.0
Maldives,87,5.198,0.938,1.402,0.914,0.548,0.224,0.072,,,,,
Congo,88,5.194,0.634,0.758,0.458,0.387,0.117,0.119,,19.5,63.5,,51.6
Azerbaijan,89,5.165,0.99,1.181,0.731,0.468,0.04,0.247,,,,,
North Macedonia,90,5.16,0.935,1.183,0.803,0.41,0.186,0.025,,,,,
Ghana,91,5.148,0.576,0.966,0.432,0.477,0.261,0.057,,21.4,63.8,,47.4
Nepal,92,5.137,0.444,1.101,0.669,0.481,0.301,0.128,,25.3,68.5,,40.1
Turkey,93,5.132,1.127,1.197,0.781,0.254,0.086,0.121,,32.2,76.1,,30.9
China,94,5.124,0.991,1.132,0.867,0.602,0.079,0.117,,38.4,78.2,,23.2
Turkmenistan,95,5.119,1.009,1.51,0.612,0.515,0.323,0.034,,,,,
Bulgaria,96,5.102,1.047,1.461,0.778,0.418,0.104,0.0,,43.7,71.7,,18.6
Morocco,97,5.095,0.759,0.645,0.745,0.45,0.04,0.077,,29.1,74.1,,35.0
Cameroon,98,5.085,0.504,0.9,0.27,0.439,0.198,0.054,,18.5,60.4,,53.1
Venezuela,99,5.053,0.77,1.349,0.767,0.272,0.087,0.064,,30.0,70.8,,37.4
Algeria,100,5.005,0.944,1.143,0.745,0.084,0.119,0.129,,28.9,76.4,,37.8
Senegal,101,4.981,0.504,0.955,0.518,0.352,0.164,0.082,,19.4,67.1,,52.5
Guinea,102,4.949,0.39,0.751,0.334,0.372,0.249,0.112,,19.1,58.9,,52.7
Niger,103,4.91,0.108,0.704,0.299,0.435,0.208,0.138,,14.8,61.6,,59.7
Laos,104,4.889,0.715,0.987,0.486,0.612,0.273,0.194,,,,,
Albania,105,4.883,0.907,0.83,0.846,0.462,0.171,0.025,,34.3,76.6,,22.8
Cambodia,106,4.848,0.545,1.071,0.588,0.675,0.233,0.073,,26.4,69.6,,38.1
Bangladesh,107,4.833,0.556,0.869,0.695,0.604,0.177,0.177,,27.9,72.4,,36.3
Gabon,108,4.829,0.988,1.106,0.523,0.369,0.052,0.056,,,,,
South Africa,109,4.814,0.902,1.259,0.407,0.435,0.126,0.06,,28.0,62.3,,36.6
Iraq,110,4.785,0.982,1.011,0.529,0.284,0.153,0.073,,21.2,70.3,,48.4
Lebanon,111,4.772,0.889,1.192,0.789,0.186,0.159,0.022,,,,,
Burkina Faso,112,4.769,0.302,0.929,0.313,0.322,0.186,0.126,,17.9,59.2,,55.0
Gambia,113,4.751,0.257,0.883,0.353,0.403,0.426,0.158,,,,,
Mali,114,4.729,0.352,0.973,0.235,0.378,0.17,0.062,,16.0,59.0,,58.5
Nigeria,115,4.724,0.646,0.987,0.168,0.435,0.221,0.048,,18.6,52.7,,54.0
Armenia,116,4.677,0.808,1.035,0.776,0.378,0.107,0.105,,,,,
Georgia,117,4.673,0.847,0.731,0.695,0.485,0.048,0.174,,38.6,72.0,,26.7
Iran,118,4.672,1.029,0.886,0.749,0.301,0.277,0.143,,31.7,74.0,,30.3
Jordan,119,4.633,0.785,1.14,0.778,0.425,0.091,0.152,,,,,
Mozambique,120,4.624,0.179,0.955,0.324,0.561,0.22,0.163,,17.0,59.4,,54.6
Kenya,121,4.583,0.476,0.905,0.536,0.519,0.394,0.067,,20.0,61.5,,49.7
Namibia,122,4.571,0.84,1.246,0.407,0.445,0.076,0.054,,,,,
Ukraine,123,4.561,0.78,1.321,0.699,0.319,0.179,0.01,,41.2,70.1,,19.9
Liberia,124,4.558,0.174,0.921,0.392,0.406,0.227,0.051,,18.0,60.7,,52.2
Palestine,125,4.553,0.588,1.195,0.614,0.299,0.092,0.072,,,,,
Uganda,126,4.432,0.312,1.052,0.378,0.402,0.265,0.064,,15.7,62.7,,57.1
Chad,127,4.423,0.302,0.739,0.109,0.229,0.211,0.086,,16.1,52.6,,58.4
Tunisia,128,4.392,0.875,0.872,0.781,0.236,0.056,0.044,,,,,
Mauritania,129,4.375,0.54,1.113,0.425,0.186,0.129,0.122,,,,,
Sri Lanka,130,4.327,0.898,1.195,0.792,0.529,0.253,0.049,,33.7,76.4,,31.2
DR Congo,131,4.311,0.062,0.833,0.277,0.365,0.254,0.081,,,,,
Eswatini,132,4.308,0.828,1.065,0.216,0.3,0.067,0.147,,,,,
Myanmar,133,4.308,0.678,1.098,0.495,0.597,0.57,0.188,,29.2,65.8,,33.4
Comoros,134,4.289,0.416,0.723,0.437,0.181,0.259,0.1,,,,,
Togo,135,4.187,0.268,0.548,0.343,0.304,0.201,0.115,,,,,
Ethiopia,136,4.186,0.315,1.001,0.484,0.413,0.228,0.117,,19.8,65.1,,51.2
Madagascar,137,4.166,0.245,0.824,0.501,0.193,0.191,0.076,,,,,
Egypt,138,4.151,0.875,0.983,0.597,0.374,0.069,0.095,,24.1,70.2,,41.9
Sierra Leone,139,3.926,0.241,0.748,0.204,0.382,0.258,0.048,,19.1,60.1,,50.3
Burundi,140,3.775,0.0,0.404,0.295,0.275,0.187,0.212,,17.7,61.7,,56.8
Zambia,141,3.759,0.537,0.896,0.364,0.491,0.251,0.087,,16.9,61.2,,54.3
Haiti,142,3.721,0.285,0.647,0.374,0.169,0.464,0.162,,24.1,63.3,,42.3
Lesotho,143,3.653,0.455,1.089,0.101,0.409,0.103,0.05,,,,,
India,144,3.573,0.731,0.644,0.541,0.581,0.237,0.106,,28.7,67.3,,34.8
Malawi,145,3.538,0.177,0.53,0.446,0.487,0.213,0.132,,16.8,63.1,,54.9
Yemen,146,3.527,0.393,1.177,0.415,0.244,0.095,0.087,,19.8,63.8,,50.7
Botswana,147,3.479,0.998,1.086,0.494,0.509,0.033,0.102,,,,,
Tanzania,148,3.476,0.457,0.873,0.443,0.509,0.272,0.204,,18.2,66.3,,54.6
Central African Republic,149,3.476,0.041,0.0,0.0,0.293,0.254,0.028,,,,,
Rwanda,150,3.312,0.343,0.523,0.572,0.604,0.236,0.486,,19.7,66.0,,50.0
Zimbabwe,151,3.299,0.426,1.048,0.375,0.377,0.151,0.081,,20.5,59.3,,52.1
South Sudan,152,2.817,0.289,0.553,0.209,0.066,0.21,0.111,,18.6,55.0,,56.9
Afghanistan,153,2.567,0.301,0.356,0.266,0.0,0.135,0.001,,19.5,62.1,,55.1
